Province_State,Country_Region,Lat,Long,Date,Year,Month,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-27 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-28 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-29 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-30 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-31 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-01 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-02 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-03 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-04 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-05 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-06 00:00:00,2020,June,1.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-07 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-08 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-09 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-10 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-11 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-12 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-13 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-14 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-15 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-16 00:00:00,2020,June,0.0,0.0,1.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-17 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-18 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-19 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-20 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-21 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-22 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-23 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-24 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-25 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-26 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-27 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-28 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-29 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-06-30 00:00:00,2020,June,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-01 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-02 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-03 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-04 00:00:00,2020,July,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-07-05 00:00:00,2020,July,0.0,0.0,0.0
