Province_State,Country_Region,Lat,Long,Date,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,10/7/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/8/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/9/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/10/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/11/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/12/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/13/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/14/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/15/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/16/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/17/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/18/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/19/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/20/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/21/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,10/22/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,10/23/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,10/24/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,10/25/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,10/26/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,10/27/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,10/28/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,10/29/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,10/30/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,10/31/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/1/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/2/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/3/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/4/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/5/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/6/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/7/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/8/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/9/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/10/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/11/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/12/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/13/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/14/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/15/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/16/2020,114
Australian Capital Territory,Australia,-35.4735,149.0124,11/17/2020,115
Australian Capital Territory,Australia,-35.4735,149.0124,11/18/2020,115
