COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,VACCINES_USED
Ecuador,ECU,AMRO,REPORTING,9/17/2021 0:00,20320001,10998667,115.173,62.34,9620899,54.531,1/21/2021 0:00,4,Pfizer BioNTech - Comirnaty
Ecuador,ECU,AMRO,REPORTING,9/17/2021 0:00,20320001,10998667,115.173,62.34,9620899,54.531,1/21/2021 0:00,4,Sinovac - CoronaVac
Egypt,EGY,EMRO,REPORTING,9/16/2021 0:00,12964351,8158764,12.669,7.973,4805587,4.696,1/24/2021 0:00,6,AstraZeneca - Vaxzevria
Egypt,EGY,EMRO,REPORTING,9/16/2021 0:00,12964351,8158764,12.669,7.973,4805587,4.696,1/24/2021 0:00,6,Beijing CNBG - BBIBP-CorV
Egypt,EGY,EMRO,REPORTING,9/16/2021 0:00,12964351,8158764,12.669,7.973,4805587,4.696,1/24/2021 0:00,6,Gamaleya - Sputnik V
Egypt,EGY,EMRO,REPORTING,9/16/2021 0:00,12964351,8158764,12.669,7.973,4805587,4.696,1/24/2021 0:00,6,Janssen - Ad26.COV 2.5
Egypt,EGY,EMRO,REPORTING,9/16/2021 0:00,12964351,8158764,12.669,7.973,4805587,4.696,1/24/2021 0:00,6,Pfizer BioNTech - Comirnaty
Egypt,EGY,EMRO,REPORTING,9/16/2021 0:00,12964351,8158764,12.669,7.973,4805587,4.696,1/24/2021 0:00,6,Sinovac - CoronaVac
El Salvador,SLV,AMRO,REPORTING,9/17/2021 0:00,7013347,3748712,108.127,57.795,3264635,50.332,2/17/2021 0:00,5,AstraZeneca - Vaxzevria
El Salvador,SLV,AMRO,REPORTING,9/17/2021 0:00,7013347,3748712,108.127,57.795,3264635,50.332,2/17/2021 0:00,5,Moderna - mRNA-1273
El Salvador,SLV,AMRO,REPORTING,9/17/2021 0:00,7013347,3748712,108.127,57.795,3264635,50.332,2/17/2021 0:00,5,Pfizer BioNTech - Comirnaty
El Salvador,SLV,AMRO,REPORTING,9/17/2021 0:00,7013347,3748712,108.127,57.795,3264635,50.332,2/17/2021 0:00,5,SII - Covishield
El Salvador,SLV,AMRO,REPORTING,9/17/2021 0:00,7013347,3748712,108.127,57.795,3264635,50.332,2/17/2021 0:00,5,Sinovac - CoronaVac
Equatorial Guinea,GNQ,AFRO,REPORTING,9/20/2021 0:00,381835,219233,27.216,15.626,162602,11.59,2/12/2021 0:00,2,Beijing CNBG - BBIBP-CorV
Equatorial Guinea,GNQ,AFRO,REPORTING,9/20/2021 0:00,381835,219233,27.216,15.626,162602,11.59,2/12/2021 0:00,2,Sinovac - CoronaVac
Estonia,EST,EURO,OWID,9/21/2021 0:00,1342009,750012,100.981,56.435,591997,44.545,,4,Janssen - Ad26.COV 2.5
Estonia,EST,EURO,OWID,9/21/2021 0:00,1342009,750012,100.981,56.435,591997,44.545,,4,Moderna - mRNA-1273
Estonia,EST,EURO,OWID,9/21/2021 0:00,1342009,750012,100.981,56.435,591997,44.545,,4,AstraZeneca - AZD1222
Estonia,EST,EURO,OWID,9/21/2021 0:00,1342009,750012,100.981,56.435,591997,44.545,,4,Pfizer BioNTech - Comirnaty
Eswatini,SWZ,AFRO,REPORTING,9/22/2021 0:00,239551,206478,20.648,17.797,199621,17.206,3/19/2021 0:00,1,SII - Covishield
Ethiopia,ETH,AFRO,REPORTING,9/22/2021 0:00,3281470,2043626,2.854,1.778,1237844,1.077,3/13/2021 0:00,3,Beijing CNBG - BBIBP-CorV
Ethiopia,ETH,AFRO,REPORTING,9/22/2021 0:00,3281470,2043626,2.854,1.778,1237844,1.077,3/13/2021 0:00,3,Bharat - Covaxin
Ethiopia,ETH,AFRO,REPORTING,9/22/2021 0:00,3281470,2043626,2.854,1.778,1237844,1.077,3/13/2021 0:00,3,SII - Covishield
Falkland Islands (Malvinas),FLK,AMRO,OWID,4/14/2021 0:00,4407,2632,126.529,75.567,1775,50.962,,1,AstraZeneca - AZD1222
Faroe Islands,FRO,EURO,OWID,9/20/2021 0:00,73404,37658,150.218,77.065,35746,73.153,,2,Moderna - mRNA-1273
Faroe Islands,FRO,EURO,OWID,9/20/2021 0:00,73404,37658,150.218,77.065,35746,73.153,,2,Pfizer BioNTech - Comirnaty
Fiji,FJI,WPRO,REPORTING,9/10/2021 0:00,907249,568998,101.205,63.473,338251,37.732,3/7/2021 0:00,3,AstraZeneca - Vaxzevria
Fiji,FJI,WPRO,REPORTING,9/10/2021 0:00,907249,568998,101.205,63.473,338251,37.732,3/7/2021 0:00,3,Moderna - mRNA-1273
Fiji,FJI,WPRO,REPORTING,9/10/2021 0:00,907249,568998,101.205,63.473,338251,37.732,3/7/2021 0:00,3,SII - Covishield
Finland,FIN,EURO,OWID,9/21/2021 0:00,7410452,4109296,134.119,74.372,3301156,59.746,,3,Moderna - mRNA-1273
Finland,FIN,EURO,OWID,9/21/2021 0:00,7410452,4109296,134.119,74.372,3301156,59.746,,3,AstraZeneca - AZD1222
Finland,FIN,EURO,OWID,9/21/2021 0:00,7410452,4109296,134.119,74.372,3301156,59.746,,3,Pfizer BioNTech - Comirnaty
France,FRA,EURO,OWID,9/15/2021 0:00,92262410,49707676,141.856,76.427,43042655,66.179,,4,Janssen - Ad26.COV 2.5
France,FRA,EURO,OWID,9/15/2021 0:00,92262410,49707676,141.856,76.427,43042655,66.179,,4,Moderna - mRNA-1273
France,FRA,EURO,OWID,9/15/2021 0:00,92262410,49707676,141.856,76.427,43042655,66.179,,4,AstraZeneca - AZD1222
France,FRA,EURO,OWID,9/15/2021 0:00,92262410,49707676,141.856,76.427,43042655,66.179,,4,Pfizer BioNTech - Comirnaty
French Polynesia,PYF,WPRO,REPORTING,9/9/2021 0:00,235567,147213,83.859,52.406,124635,44.369,1/18/2021 0:00,2,Janssen - Ad26.COV 2.5
French Polynesia,PYF,WPRO,REPORTING,9/9/2021 0:00,235567,147213,83.859,52.406,124635,44.369,1/18/2021 0:00,2,Pfizer BioNTech - Comirnaty
Gabon,GAB,AFRO,REPORTING,9/20/2021 0:00,177392,100884,7.97,4.533,76508,3.437,3/23/2021 0:00,1,Beijing CNBG - BBIBP-CorV
Gambia,GMB,AFRO,REPORTING,9/2/2021 0:00,198322,198482,8.206,8.213,20547,0.85,3/10/2021 0:00,2,Beijing CNBG - BBIBP-CorV
Gambia,GMB,AFRO,REPORTING,9/2/2021 0:00,198322,198482,8.206,8.213,20547,0.85,3/10/2021 0:00,2,SII - Covishield
Georgia,GEO,EURO,OWID,9/21/2021 0:00,1686412,956417,42.275,23.975,729995,18.299,,4,AstraZeneca - AZD1222
Georgia,GEO,EURO,OWID,9/21/2021 0:00,1686412,956417,42.275,23.975,729995,18.299,,4,Pfizer BioNTech - Comirnaty
Georgia,GEO,EURO,OWID,9/21/2021 0:00,1686412,956417,42.275,23.975,729995,18.299,,4,Beijing CNBG - Inactivated
Georgia,GEO,EURO,OWID,9/21/2021 0:00,1686412,956417,42.275,23.975,729995,18.299,,4,Sinovac - CoronaVac
Germany,DEU,EURO,OWID,9/21/2021 0:00,106070782,56009980,127.54,67.347,52723861,63.395,,4,Janssen - Ad26.COV 2.5
Germany,DEU,EURO,OWID,9/21/2021 0:00,106070782,56009980,127.54,67.347,52723861,63.395,,4,Moderna - mRNA-1273
Germany,DEU,EURO,OWID,9/21/2021 0:00,106070782,56009980,127.54,67.347,52723861,63.395,,4,AstraZeneca - AZD1222
Germany,DEU,EURO,OWID,9/21/2021 0:00,106070782,56009980,127.54,67.347,52723861,63.395,,4,Pfizer BioNTech - Comirnaty
