Country_Region,Lat,Long,Population,Date,Vaccinations
Albania,41.1533,20.1683,2877800,3/2/2021,14295
Albania,41.1533,20.1683,2877800,3/3/2021,15793
Albania,41.1533,20.1683,2877800,3/4/2021,15793
Albania,41.1533,20.1683,2877800,3/5/2021,15793
Albania,41.1533,20.1683,2877800,3/6/2021,15793
Albania,41.1533,20.1683,2877800,3/7/2021,15793
Albania,41.1533,20.1683,2877800,3/8/2021,15793
Albania,41.1533,20.1683,2877800,3/9/2021,15793
Albania,41.1533,20.1683,2877800,3/10/2021,21613
Albania,41.1533,20.1683,2877800,3/11/2021,21613
Albania,41.1533,20.1683,2877800,3/12/2021,23635
Albania,41.1533,20.1683,2877800,3/13/2021,23635
Albania,41.1533,20.1683,2877800,3/14/2021,23635
Albania,41.1533,20.1683,2877800,3/15/2021,23635
Albania,41.1533,20.1683,2877800,3/16/2021,23635
Albania,41.1533,20.1683,2877800,3/17/2021,33369
Albania,41.1533,20.1683,2877800,3/18/2021,33369
Albania,41.1533,20.1683,2877800,3/19/2021,33369
Albania,41.1533,20.1683,2877800,3/20/2021,33369
Albania,41.1533,20.1683,2877800,3/21/2021,33369
Albania,41.1533,20.1683,2877800,3/22/2021,48229
Albania,41.1533,20.1683,2877800,3/23/2021,51690
Albania,41.1533,20.1683,2877800,3/24/2021,53992
Albania,41.1533,20.1683,2877800,3/25/2021,59348
Albania,41.1533,20.1683,2877800,3/26/2021,62248
Albania,41.1533,20.1683,2877800,3/27/2021,64075
Albania,41.1533,20.1683,2877800,3/28/2021,78000
Albania,41.1533,20.1683,2877800,3/29/2021,78000
Albania,41.1533,20.1683,2877800,3/30/2021,119321
Albania,41.1533,20.1683,2877800,3/31/2021,138846
Albania,41.1533,20.1683,2877800,4/1/2021,155463
Albania,41.1533,20.1683,2877800,4/2/2021,172486
Albania,41.1533,20.1683,2877800,4/3/2021,185496
Albania,41.1533,20.1683,2877800,4/4/2021,192882
Albania,41.1533,20.1683,2877800,4/5/2021,206708
