Country_Region,Lat,Long,Date,Recovered
Afghanistan,33.93911,67.709953,10/10/2020,33064
Afghanistan,33.93911,67.709953,10/11/2020,33114
Afghanistan,33.93911,67.709953,10/12/2020,33118
Afghanistan,33.93911,67.709953,10/13/2020,33308
Afghanistan,33.93911,67.709953,10/14/2020,33354
Afghanistan,33.93911,67.709953,10/15/2020,33447
Afghanistan,33.93911,67.709953,10/16/2020,33516
Afghanistan,33.93911,67.709953,10/17/2020,33561
Afghanistan,33.93911,67.709953,10/18/2020,33614
Afghanistan,33.93911,67.709953,10/19/2020,33760
Afghanistan,33.93911,67.709953,10/20/2020,33790
Afghanistan,33.93911,67.709953,10/21/2020,33824
Afghanistan,33.93911,67.709953,10/22/2020,33831
Afghanistan,33.93911,67.709953,10/23/2020,34010
Afghanistan,33.93911,67.709953,10/24/2020,34023
Afghanistan,33.93911,67.709953,10/25/2020,34129
Afghanistan,33.93911,67.709953,10/26/2020,34150
Afghanistan,33.93911,67.709953,10/27/2020,34217
Afghanistan,33.93911,67.709953,10/28/2020,34237
Afghanistan,33.93911,67.709953,10/29/2020,34239
Afghanistan,33.93911,67.709953,10/30/2020,34258
Afghanistan,33.93911,67.709953,10/31/2020,34321
Afghanistan,33.93911,67.709953,11/1/2020,34326
Afghanistan,33.93911,67.709953,11/2/2020,34342
Afghanistan,33.93911,67.709953,11/3/2020,34355
Afghanistan,33.93911,67.709953,11/4/2020,34362
Afghanistan,33.93911,67.709953,11/5/2020,34440
Afghanistan,33.93911,67.709953,11/6/2020,34440
Afghanistan,33.93911,67.709953,11/7/2020,34446
Afghanistan,33.93911,67.709953,11/8/2020,34458
Afghanistan,33.93911,67.709953,11/9/2020,34721
Afghanistan,33.93911,67.709953,11/10/2020,34954
Afghanistan,33.93911,67.709953,11/11/2020,34967
Afghanistan,33.93911,67.709953,11/12/2020,35024
Afghanistan,33.93911,67.709953,11/13/2020,35036
Afghanistan,33.93911,67.709953,11/14/2020,35067
Afghanistan,33.93911,67.709953,11/15/2020,35092
Afghanistan,33.93911,67.709953,11/16/2020,35137
Afghanistan,33.93911,67.709953,11/17/2020,35160
Afghanistan,33.93911,67.709953,11/18/2020,35295
Afghanistan,33.93911,67.709953,11/19/2020,35350
Afghanistan,33.93911,67.709953,11/20/2020,35370
Afghanistan,33.93911,67.709953,11/21/2020,35422
Afghanistan,33.93911,67.709953,11/22/2020,35934
