Country_Region,Lat,Long,Date,Year,Month,Vaccinations
Afghanistan,33.9391,67.71,2021-09-22 00:00:00,2021,September,0.0
Albania,41.1533,20.1683,2021-01-12 00:00:00,2021,January,128.0
Albania,41.1533,20.1683,2021-01-13 00:00:00,2021,January,60.0
Albania,41.1533,20.1683,2021-01-14 00:00:00,2021,January,78.0
Albania,41.1533,20.1683,2021-01-15 00:00:00,2021,January,42.0
Albania,41.1533,20.1683,2021-01-16 00:00:00,2021,January,61.0
Albania,41.1533,20.1683,2021-01-17 00:00:00,2021,January,36.0
Albania,41.1533,20.1683,2021-01-18 00:00:00,2021,January,42.0
Albania,41.1533,20.1683,2021-01-19 00:00:00,2021,January,36.0
Albania,41.1533,20.1683,2021-01-20 00:00:00,2021,January,36.0
Albania,41.1533,20.1683,2021-01-21 00:00:00,2021,January,30.0
Albania,41.1533,20.1683,2021-01-22 00:00:00,2021,January,0.0
Albania,41.1533,20.1683,2021-01-23 00:00:00,2021,January,0.0
Albania,41.1533,20.1683,2021-01-24 00:00:00,2021,January,0.0
Albania,41.1533,20.1683,2021-01-25 00:00:00,2021,January,0.0
Albania,41.1533,20.1683,2021-01-26 00:00:00,2021,January,0.0
Albania,41.1533,20.1683,2021-01-27 00:00:00,2021,January,0.0
Albania,41.1533,20.1683,2021-01-28 00:00:00,2021,January,0.0
Albania,41.1533,20.1683,2021-01-29 00:00:00,2021,January,0.0
Albania,41.1533,20.1683,2021-01-30 00:00:00,2021,January,0.0
Albania,41.1533,20.1683,2021-01-31 00:00:00,2021,January,0.0
Albania,41.1533,20.1683,2021-02-01 00:00:00,2021,February,0.0
Albania,41.1533,20.1683,2021-02-02 00:00:00,2021,February,1.0
Albania,41.1533,20.1683,2021-02-03 00:00:00,2021,February,0.0
Albania,41.1533,20.1683,2021-02-04 00:00:00,2021,February,0.0
Albania,41.1533,20.1683,2021-02-05 00:00:00,2021,February,0.0
Albania,41.1533,20.1683,2021-02-06 00:00:00,2021,February,0.0
Albania,41.1533,20.1683,2021-02-07 00:00:00,2021,February,0.0
Albania,41.1533,20.1683,2021-02-08 00:00:00,2021,February,0.0
Albania,41.1533,20.1683,2021-02-09 00:00:00,2021,February,577.0
Albania,41.1533,20.1683,2021-02-10 00:00:00,2021,February,0.0
Albania,41.1533,20.1683,2021-02-11 00:00:00,2021,February,0.0
