row_names,id,security_name,ticker,sp500_weight,sec_type,major_asset_class,minor_asset_class
416,417,Vanguard Tax-Exempt Bond ETF,VTEB,,etf,fixed_income,
414,415,Vanguard Short-Term Inflation-Protected Securities ETF,VTIP,,etf,fixed_income,
331,331,Ventas Inc.,VTR,0.05709,common_share,equity,large_cap
451,454,Vanguard Ftse Emerging Markets,VWO,,etf,fixed_income,emerging_markets
38,38,Verizon Communications Inc.,VZ,0.51394,common_share,equity,large_cap
357,357,Westinghouse Air Brake Technologies Corporation,WAB,0.04998,common_share,equity,large_cap
335,335,Waters Corporation,WAT,0.05574,common_share,equity,large_cap
268,268,Walgreens Boots Alliance Inc.,WBA,0.07597,common_share,equity,large_cap
258,258,Warner Bros. Discovery Inc. Series A,WBD,0.08173,common_share,equity,large_cap
221,221,WEC Energy Group Inc,WEC,0.0984,common_share,equity,large_cap
211,211,Welltower Inc,WELL,0.10268,common_share,equity,large_cap
39,39,Wells Fargo & Company,WFC,0.50774,common_share,equity,large_cap
111,111,Waste Management Inc.,WM,0.19692,common_share,equity,large_cap
191,191,Williams Companies Inc.,WMB,0.11441,common_share,equity,large_cap
31,31,Walmart Inc.,WMT,0.56727,common_share,equity,large_cap
297,297,West Pharmaceutical Services Inc.,WST,0.06704,common_share,equity,large_cap
431,432,WisdomTree Managed Futures Strategy Fund,WTMF,,etf,alternatives,
285,285,Willis Towers Watson Public Limited Company,WTW,0.06975,common_share,equity,large_cap
271,271,Weyerhaeuser Company,WY,0.07486,common_share,equity,large_cap
180,180,Xcel Energy Inc.,XEL,0.12355,common_share,equity,large_cap
10,10,Exxon Mobil Corporation,XOM,1.18412,common_share,equity,large_cap
353,353,Xylem Inc.,XYL,0.05113,common_share,equity,large_cap
393,393,AdvisorShares Pure Cannabis ETF,YOLO,,etf,commodities,cannabis
218,218,Yum! Brands Inc.,YUM,0.09934,common_share,equity,large_cap
294,294,Zimmer Biomet Holdings Inc.,ZBH,0.06807,common_share,equity,large_cap
101,101,Zoetis Inc. Class A,ZTS,0.22109,common_share,equity,large_cap
